Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Tuesday Mar 18,boxscore,CHC,,LAD,L,1,4,,0-1,5,0.5,Yamamoto,Brown,Scott,2:38,N,42365,.96,-,
2,Wednesday Mar 19,boxscore,CHC,,LAD,L,3,6,,0-2,5,1.0,Knack,Steele,Vesia,2:45,N,42367,.89,--,
3,Thursday Mar 27,boxscore,CHC,@,ARI,W,10,6,,1-2,2,1.0,Steele,Gallen,,2:59,N,49070,.87,+,
4,Friday Mar 28,boxscore,CHC,@,ARI,L,1,8,,1-3,5,1.5,Kelly,Taillon,,2:29,N,37449,.92,-,
5,Saturday Mar 29,boxscore,CHC,@,ARI,W,4,3,,2-3,3,1.5,Imanaga,Pfaadt,Pressly,2:27,N,36407,.88,+,
6,Sunday Mar 30,boxscore,CHC,@,ARI,L,6,10,,2-4,3,2.5,Martinez,Morgan,,3:04,D,39145,.90,-,
7,Monday Mar 31,boxscore,CHC,@,ATH,W,18,3,,3-4,3,1.5,Brown,Estes,Rea,3:10,N,12119,.84,+,
8,Tuesday Apr 1,boxscore,CHC,@,ATH,W,7,4,,4-4,2,0.5,Steele,Severino,Pressly,2:20,N,10095,.89,++,
9,Wednesday Apr 2,boxscore,CHC,@,ATH,W,10,2,,5-4,2,0.5,Taillon,Springs,,2:51,D,9342,.93,+++,
10,Friday Apr 4,boxscore,CHC,,SDP,W,3,1,,6-4,1,up 0.5,Imanaga,Vásquez,Pressly,2:38,D,40244,1.01,++++,
11,Saturday Apr 5,boxscore,CHC,,SDP,W,7,1,,7-4,1,up 1.0,Boyd,Pivetta,,2:47,D,35391,1.09,+++++,
12,Sunday Apr 6,boxscore,CHC,,SDP,L,7,8,,7-5,1,up 1.0,Adam,Pressly,Suarez,3:16,D,33941,1.10,-,
13,Monday Apr 7,boxscore,CHC,,TEX,W,7,0,,8-5,1,up 1.5,Steele,Eovaldi,,2:13,N,27017,.99,+,
14,Tuesday Apr 8,boxscore,CHC,,TEX,W,10,6,,9-5,1,up 1.5,Hodge,Martin,,2:43,N,27694,1.01,++,
15,Wednesday Apr 9,boxscore,CHC,,TEX,L,2,6,,9-6,1,up 0.5,Mahle,Imanaga,,2:16,D,23590,1.06,-,
16,Friday Apr 11,boxscore,CHC,@,LAD,L,0,3,,9-7,1,Tied,Yamamoto,Boyd,Scott,2:23,N,53933,1.09,--,
17,Saturday Apr 12,boxscore,CHC,@,LAD,W,16,0,,10-7,1,up 1.0,Brown,Sasaki,,2:40,N,53887,1.03,+,
18,Sunday Apr 13,boxscore,CHC,@,LAD,W,4,2,,11-7,1,up 2.0,Roberts,Treinen,Pressly,2:46,D,50899,1.09,++,
19,Monday Apr 14,boxscore,CHC,@,SDP,L,4,10,,11-8,1,up 1.5,Morejón,Pearson,,3:10,N,47078,1.13,-,
20,Tuesday Apr 15,boxscore,CHC,@,SDP,W,2,1,10,12-8,1,up 1.5,Pressly,Matsui,Thielbar,3:00,N,42492,1.07,+,
21,Wednesday Apr 16,boxscore,CHC,@,SDP,L,2,4,,12-9,1,up 1.0,Pivetta,Boyd,Suarez,2:39,D,41562,1.17,-,
22,Friday Apr 18,boxscore,CHC,,ARI,W,13,11,,13-9,1,up 1.0,Pressly,Mantiply,,3:09,D,39109,1.10,+,
23,Saturday Apr 19,boxscore,CHC,,ARI,W,6,2,,14-9,1,up 2.0,Thielbar,Gallen,,2:35,D,36002,1.13,++,
24,Sunday Apr 20,boxscore,CHC,,ARI,L,2,3,11,14-10,1,up 1.0,Miller,Wicks,Jameson,3:15,D,29062,1.14,-,
